id	label	dataset
1504883101369081861	1	FakeReal
1197999306055258113	0	FakeReal
1293361810339434497	1	covid5K700
1367537034693406731	0	covid5K700
967416727503073282	1	Rumor
1368485725109432322	1	Newid
967166756702883840	1	Rumor
1079105405492572164	1	Rumor
965893290548760576	1	Rumor
856787641030901761	0	FakeReal
1239556907821608966	1	Covid3s400
1503996796238020609	1	FakeReal
1503462431577849857	1	FakeReal
1079113590718808064	1	Rumor
1238782681808281600	0	MFH
1245766707240722434	1	ArCOV-19
959116387435376640	1	Rumor
1242843976924835840	1	Covid3s400
967497064237150208	1	Rumor
1371377503969935365	0	Newid
1240667544849170433	0	Covid3s400
968213163132030977	0	Rumor
966971581271543809	1	Rumor
1238235773649944593	1	ArCOV-19
1359494005042671626	0	Newid
1356986611527999492	0	Newid
1291001850557345792	1	covid5K700
1375363703936323586	0	Newid
1082553215340761088	1	Rumor
959115530543271937	1	Rumor
959192771730067458	1	Rumor
1394750714488950788	0	Newid
1249515070050258944	1	Covid3s400
1479324416941064194	1	FakeReal
1058696614246825986	1	Rumor
957937559388282880	0	Rumor
1234474718973001728	1	Covid3s400
963364309672845312	1	Rumor
959892284840992768	1	Rumor
1504095964797317127	1	FakeReal
962328952042868736	1	Rumor
1078292941259632640	1	Rumor
1325389851353636864	0	FakeReal
1366878691431763971	1	covid5K700
967460679518162944	1	Rumor
1366306819648405507	0	Newid
954088057556389889	0	Rumor
1503408199180951559	1	FakeReal
966651986513981440	1	Rumor
1293358374067871747	1	covid5K700
967443857083379713	1	Rumor
1289803227882377216	1	covid5K700
1376278031858335748	0	Newid
966296833990496256	1	Rumor
1239689868227366912	1	ArCOV-19
1287975825862807552	1	covid5K700
1293195072348065794	1	covid5K700
967479786007392256	1	Rumor
1224386980567494663	1	ArCOV-19
1078335855025184770	1	Rumor
1294979849883398146	1	covid5K700
1288902491648778240	1	MFH
955154174966206464	1	Rumor
967197819516936192	1	Rumor
1055894777693175809	0	Rumor
960575310151512064	1	Rumor
1496187414716506115	1	FakeReal
1294665151023587330	1	covid5K700
963502484877606913	1	Rumor
1498066347170930690	0	FakeReal
1238838655067791361	1	Covid3s400
967399952325513217	1	Rumor
963521819117572098	1	Rumor
1394366725731373059	0	Newid
1296823693851725824	1	covid5K700
967299479211831296	1	Rumor
980561114277621760	1	Rumor
1081552633234710529	1	Rumor
1242841658779189249	0	MFH
1244066486076964864	1	Covid3s400
1081630313254658048	1	Rumor
967327766764052480	1	Rumor
1081445367781253120	1	Rumor
1293222883582509056	1	covid5K700
1298130485378453504	1	covid5K700
1222081199004422144	1	ArCOV-19
1236406891338764289	0	MFH
1366148672912826371	0	Newid
963376846535643136	1	Rumor
1496569454322405392	1	FakeReal
958019565950308353	0	Rumor
1054159256939872257	1	Rumor
966347963030228994	1	Rumor
1502893012938113025	1	FakeReal
968252892997214210	0	Rumor
967460040738304000	1	Rumor
1081805615192784897	1	Rumor
1502987358576205831	1	FakeReal
1234577976743821312	0	ArCOV-19
1296458198103318528	0	covid5K700
1082581232402288641	1	Rumor
967521858055794688	1	Rumor
1258124517593042946	0	MFH
1294637788042801152	1	covid5K700
1037854564882571264	0	Rumor
967541214135377921	1	Rumor
967472311942156289	1	Rumor
1293653485204860929	1	covid5K700
967053330227843072	1	Rumor
1504099598020845570	1	FakeReal
1238974820618047488	0	ArCOV-19
1078537428510617600	1	Rumor
1508052111174610948	1	FakeReal
1279579553262972929	1	FakeReal
1403367385894162436	1	FakeReal
1504730522353819654	1	FakeReal
963553181522448386	1	Rumor
1242085128140140545	1	MFH
1502304860301107203	1	FakeReal
967392852207599617	1	Rumor
967544100357640192	1	Rumor
1376928907820154881	1	Newid
1236628999905988608	1	ArCOV-19
1055952842949836806	0	Rumor
1277143626238304261	1	MFH
1249626497004064768	1	ArCOV-19
1366872068357312512	1	covid5K700
967473649665105921	1	Rumor
1366460583642554369	0	covid5K700
1366844877548515332	1	covid5K700
967377426316742656	1	Rumor
1296912890457456643	1	covid5K700
1373988995202494468	1	Newid
966704067048361984	1	Rumor
1044630462768050176	1	FakeReal
1501986242069598221	1	FakeReal
1239855466550870016	1	Covid3s400
1387916246797144066	0	Newid
960574034281934848	1	Rumor
1081357232615444485	1	Rumor
967875999181524997	0	Rumor
1250400349791432706	1	ArCOV-19
1240576033520320513	1	ArCOV-19
1251987158035988486	1	ArCOV-19
1500048483465662469	1	FakeReal
1499041527573721101	1	FakeReal
1258739569161273345	1	MFH
1366782144308252676	0	covid5K700
1366861238307852288	1	covid5K700
1079322164384464896	1	Rumor
1241078023539081219	1	covid5K700
1240724485541629957	1	covid5K700
1318955453779480576	1	MFH
980764357863919617	1	Rumor
1501807607027281923	1	FakeReal
1501282113911361540	1	FakeReal
967486156790272001	1	Rumor
1410224238083162119	1	FakeReal
1054128875888893957	1	Rumor
1500100050546044930	1	FakeReal
967451587357618176	1	Rumor
1377598383532208128	0	FakeReal
967477103150104576	1	Rumor
967451852739661827	1	Rumor
1043402756604743680	1	FakeReal
967512209654996993	1	Rumor
1494007981893169160	1	FakeReal
1503483372366090244	1	FakeReal
1500964132547399680	1	FakeReal
1079101860022239232	1	Rumor
1258483889351294976	0	MFH
967864251128967168	1	Rumor
1232352497773268995	0	MFH
980439105434726400	1	Rumor
964951853535580162	1	Rumor
1366365997993721860	0	covid5K700
967447970575679489	1	Rumor
1079739216370847744	1	Rumor
1079053073610403840	1	Rumor
1243618458417467394	1	ArCOV-19
1081615011083100161	1	Rumor
1224274822454292480	0	ArCOV-19
966684399159971841	1	Rumor
1231130365525417984	0	ArCOV-19
967183455590207488	1	Rumor
1254387720434188288	0	MFH
1243927074311557120	1	ArCOV-19
1240593860876697607	1	covid5K700
1366469933165641731	0	covid5K700
